Issue Type,Epic,Priority,Summary,Description,Components,Files To Touch,Labels
Task,Auth & Session,P0,"Unify Auth API Contracts","Đồng bộ contracts/openapi/core-api.yaml với endpoint runtime auth (login/me/ws-ticket) hoặc loại bỏ endpoint runtime ngoài spec; đảm bảo BFF không gọi endpoint không có trong contract.","backend,frontend,contracts","contracts/openapi/core-api.yaml; backend/app/api/v1/endpoints/auth.py; frontend/src/app/api/v1/auth/route.ts","audit-2026-03,mvp-gap,contract-sync"
Task,Auth & Session,P1,"Fix OTP Schema Drift","Chuẩn hóa purpose và validation OTP length giữa backend schema và OpenAPI để FE/BFF/Core dùng đúng một chuẩn.","backend,contracts","backend/app/schemas/auth.py; contracts/openapi/core-api.yaml","audit-2026-03,mvp-gap,auth"
Task,Auth & Session,P1,"Align BFF Cookie Security Scheme","Đồng bộ cookie name giữa bff-api.yaml và implementation, cập nhật proxy/middleware đọc đúng cookie cho toàn bộ auth flow.","frontend,contracts","contracts/openapi/bff-api.yaml; frontend/src/app/api/v1/auth/route.ts; frontend/src/lib/core-api-proxy.ts","audit-2026-03,mvp-gap,security"
Task,Chat - API & Realtime,P0,"Resolve Conversation PATCH Mismatch","Implement PATCH /v1/conversations/{id} ở Core theo spec hoặc bỏ PATCH khỏi BFF/spec để tránh lỗi runtime do endpoint không tồn tại.","backend,frontend,contracts","contracts/openapi/core-api.yaml; backend/app/api/v1/endpoints/conversations.py; frontend/src/app/api/v1/conversations/[id]/route.ts","audit-2026-03,mvp-gap,chat,contract-sync"
Task,Chat - API & Realtime,P1,"Standardize Chat Response Envelopes","Chuẩn hóa envelope data/error cho toàn bộ chat REST endpoints để giảm adapter phức tạp và tránh lỗi parse phía FE.","backend,frontend","backend/app/api/v1/endpoints/conversations.py; backend/app/schemas/chat.py; frontend/src/hooks/useChat.ts","audit-2026-03,mvp-gap,chat"
Task,Chat - API & Realtime,P1,"Handle 204 Correctly in BFF Client","Cập nhật helper fetch để không ép parse JSON với response 204/empty body, tránh throw lỗi giả trong chat mutations.","frontend","frontend/src/lib/api-client.ts","audit-2026-03,mvp-gap,frontend"
Task,Chat - API & Realtime,P2,"Optimize Conversation List Queries","Refactor query list conversation để tránh N+1 khi lấy last_message/unread_count và giảm độ trễ khi số hội thoại tăng.","backend","backend/app/services/chat.py","audit-2026-03,mvp-gap,performance"
Task,Chat - API & Realtime,P2,"Add WS Error Observability","Thay catch-pass bằng structured logging/metrics/correlation id trong WS send/broadcast để tăng khả năng vận hành và truy vết sự cố.","backend","backend/app/ws/handlers.py; backend/app/ws/chat_router.py","audit-2026-03,mvp-gap,observability"
Task,Core - Meals & Async Pipeline,P0,"Implement End-to-End Meal Async Flow","Hoàn thiện luồng upload ảnh -> object storage -> enqueue queue -> AI analyze -> update meal status/result theo data-flow docs.","backend,worker,ai-worker","backend/app/api/v1/endpoints/meals.py; backend/app/services/meals.py; backend/app/adapters/storage.py; services/queue-worker/app; services/ai-worker/app","audit-2026-03,mvp-gap,meals,async"
Task,Core - Meals & Async Pipeline,P1,"Enforce Event Contract Envelope","Chuẩn hóa toàn bộ event publish theo envelope có version/metadata để FE, Core và workers parse nhất quán.","backend,worker,contracts","contracts/events/README.md; contracts/events; backend/app/ws/chat_router.py; services/queue-worker/app","audit-2026-03,mvp-gap,events"
Task,BFF - Domain Coverage,P0,"Decide MVP Domain Scope and Remove Dead Proxies","Chốt domain MVP thực sự support; xóa hoặc implement các BFF proxy tới Core endpoints chưa tồn tại để tránh API ảo.","frontend,backend,contracts","frontend/src/app/api/v1; backend/app/api/v1/router.py; contracts/openapi/bff-api.yaml","audit-2026-03,mvp-gap,bff"
Task,BFF - Domain Coverage,P1,"Fix Users Route Contract Alignment","Đồng bộ route users/me giữa bff-api.yaml và cấu trúc route handlers hiện tại để FE gọi đúng path contract.","frontend,contracts","frontend/src/app/api/v1/users/route.ts; contracts/openapi/bff-api.yaml","audit-2026-03,mvp-gap,users"
Task,Frontend - Product Readiness,P1,"Remove Runtime Mock Dependencies","Thay mock fallback runtime bằng loading/error states rõ ràng và chỉ cho phép mock qua dev/test feature flag.","frontend","frontend/src/lib/profile-data.ts; frontend/src/lib/dashboard-data.ts; frontend/src/lib/meals-data.ts; frontend/src/hooks/useChat.ts; frontend/src/lib/gamification-data.ts","audit-2026-03,mvp-gap,mock-cleanup"
Task,Frontend - Product Readiness,P2,"Persist Chat UI Preferences","Triển khai persistence backend cho pin/mute/theme conversation thay cho TODO local-only trong FE.","frontend,backend","frontend/src/hooks/useChat.ts; backend/app/api/v1/endpoints/conversations.py; backend/app/services/chat.py","audit-2026-03,mvp-gap,chat"
Task,Security & Config,P0,"Remove Insecure Defaults from Config","Bắt buộc secret_key và storage credentials lấy từ env; fail-fast khi thiếu biến bắt buộc ở môi trường non-dev.","backend,infra","backend/app/core/config.py; infra/env/backend.env.example","audit-2026-03,mvp-gap,security"
Task,Security & Config,P1,"Security Hardening Regression Pass","Rà soát và bổ sung regression tests cho authn/authz, CORS và unauthorized access ở auth/chat/meals endpoints.","backend,tests","backend/app/main.py; backend/app/core/security.py; tests/integration","audit-2026-03,mvp-gap,security,qa"
Task,QA & Contracts,P1,"Add BFF OpenAPI Contract Tests","Thiết lập contract tests cho BFF tương tự Core để bắt lệch path/schema sớm trong CI.","tests,frontend,contracts","contracts/openapi/bff-api.yaml; tests/contract","audit-2026-03,mvp-gap,qa,contract-sync"
Task,QA & Contracts,P1,"Add Chat and WS Integration Tests","Bổ sung integration/e2e cho chat REST + websocket events + 204 behavior + reconnect scenarios.","tests,backend,frontend","tests/integration; tests/e2e/test_user_flow.spec.ts; backend/app/ws","audit-2026-03,mvp-gap,qa,chat"
